Date,Time,Temp (°C) c:1,Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
14-06-22,17:20:00,27.776,,,,,
14-06-22,17:30:00,27.702,,,,,
14-06-22,17:40:00,27.653,,,,,
14-06-22,17:50:00,27.653,,,,,
14-06-22,18:00:00,27.604,,,,,
14-06-22,18:10:00,27.53,,,,,
14-06-22,18:20:00,27.431,,,,,
14-06-22,18:30:00,27.333,,,,,
14-06-22,18:40:00,27.161,,,,,
14-06-22,18:50:00,27.063,,,,,
14-06-22,19:00:00,26.965,,,,,
14-06-22,19:10:00,26.891,,,,,
14-06-22,19:20:00,26.793,,,,,
14-06-22,19:30:00,26.72,,,,,
14-06-22,19:40:00,26.671,,,,,
14-06-22,19:50:00,26.573,,,,,
14-06-22,20:00:00,26.5,,,,,
14-06-22,20:10:00,26.426,,,,,
14-06-22,20:20:00,26.451,,,,,
14-06-22,20:30:00,26.402,,,,,
14-06-22,20:40:00,26.353,,,,,
14-06-22,20:50:00,26.353,,,,,
14-06-22,21:00:00,26.329,,,,,
14-06-22,21:10:00,26.28,,,,,
14-06-22,21:20:00,26.207,,,,,
14-06-22,21:30:00,26.182,,,,,
14-06-22,21:40:00,26.134,,,,,
14-06-22,21:50:00,26.036,,,,,
14-06-22,22:00:00,25.963,,,,,
14-06-22,22:10:00,25.914,,,,,
14-06-22,22:20:00,25.841,,,,,
14-06-22,22:30:00,25.793,,,,,
14-06-22,22:40:00,25.695,,,,,
14-06-22,22:50:00,25.671,,,,,
14-06-22,23:00:00,25.671,,,,,
14-06-22,23:10:00,25.598,,,,,
14-06-22,23:20:00,25.574,,,,,
14-06-22,23:30:00,25.525,,,,,
14-06-22,23:40:00,25.477,,,,,
14-06-22,23:50:00,25.428,,,,,
15-06-22,0:00:00,25.355,,,,,
15-06-22,0:10:00,25.307,,,,,
15-06-22,0:20:00,25.283,,,,,
15-06-22,0:30:00,25.258,,,,,
15-06-22,0:40:00,25.234,,,,,
15-06-22,0:50:00,25.162,,,,,
15-06-22,1:00:00,25.162,,,,,
15-06-22,1:10:00,25.113,,,,,
15-06-22,1:20:00,25.089,,,,,
15-06-22,1:30:00,25.089,,,,,
15-06-22,1:40:00,25.04,,,,,
